[u'Nucleic Acids Research', u'NAR', 128]
[u'IEEE Conference on Computer Vision and Pattern Recognition', u'CVPR', 112]
[u'IEEE Transactions on Pattern Analysis and Machine Intelligence', u'TPAMI', 101]
[u'NeuroImage', u'NeuroImage', 99]
[u'IEEE Transactions on Industrial Electronics', u'TIE', 80]
[u'Bioinformatics', u'Bioinformatics', 79]
[u'IEEE Communications Magazine', u'ICM', 74]
[u'IEEE Transactions on Signal Processing', u'TSP', 73]
[u'ACM Conference on Human Factors in Computing Systems', u'CHI', 71]
[u'IEEE Transactions on Image Processing', u'TIP', 69]
[u'Automatica', u'Automatica', 69]
[u'IEEE International Conference on Computer Communications', u'INFOCOM', 69]
[u'Communications of the ACM', u'Commun. ACM', 69]
[u' Transactions on Automatic Control ', u'TAC', 67]
[u'International World Wide Web Conferences', u'WWW', 66]
[u'Proceedings of the IEEE', u'Proc. IEEE', 64]
[u'Information Sciences', u'Inf. Sci.', 62]
[u'IEEE Transactions on Wireless Communications', u'TWC', 61]
[u'Proceedings of The Vldb Endowment', u'PVLDB', 61]
[u'ACM Transactions on Graphics', u'TOG', 61]
[u'IEEE Transactions on Information Theory', u'TIT', 59]
[u'Expert Systems with Applications', u'Expert Syst. Appl.', 59]
[u'European Journal of Operational Research', u'EJOR', 59]
[u'International Journal of Computer Vision', u'IJCV', 58]
[u'IEEE International Conference on Robotics and Automation', u'ICRA', 58]
[u'International Conference on Computer Vision', u'ICCV', 58]
[u'IEEE Communications Surveys and Tutorials', u'COMSUR', 58]
[u'IEEE Transactions on Vehicular Technology', u'TVT', 57]
[u'ACM Knowledge Discovery and Data Mining', u'KDD', 56]
[u'International Conference on Machine Learning', u'ICML', 56]
[u'IEEE/ACM Transactions on Networking ', u'TON', 55]
[u'IEEE Transactions on Parallel and Distributed Systems', u'TPDS', 55]
[u'Transactions on Geoscience and Remote Sensing', u'TGARS', 55]
[u'ACM SIGMOD Conference', u'SIGMOD', 54]
[u'IEEE Transactions on Smart Grid', u'TSG', 54]
[u'IEEE Transactions on Medical Imaging', u'T-MI', 53]
[u'IEEE Transactions on Knowledge and Data Engineering', u'TKDE', 53]
[u'IEEE Transactions on Mobile Computing', u'TMC', 53]
[u'Computers & Education', u'C&E', 52]
[u'Management Science', u'MS', 52]
[u'Symposium on Network System Design and Implementation', u'NSDI', 52]
[u'Computers & Mathematics with Applications', u'CMA', 51]
[u'IEEE Journal of Selected Areas in Communications', u'JSAC', 51]
[u'Annual Conference on Neural Information Processing Systems', u'NIPS', 51]
[u'Journal of Cognitive Neuroscience', u'JOCN', 51]
[u'ACM International Conference on Web Search and Data Mining', u'WSDM', 50]
[u'ACM International Conference on the applications, technologies, architectures, and protocols for computer communication', u'SIGCOMM', 49]
[u'IEEE Symposiumon Security and Privacy', u'S&P', 49]
[u'International Conference on Weblogs and Social Media', u'ICWSM', 49]
[u'Journal of Machine Learning Research', u'JMLR', 49]
[u'Applied Soft Computing ', u'ASC', 49]
[u'Journal of Solid-State Circuits', u'JSSC', 49]
[u'Organization Science', u'OS', 48]
[u'Annual Meeting of the Association for Computational Linguistics', u'ACL', 48]
[u'IEEE Transactions on Software Engineering', u'ITSE', 48]
[u'IEEE Transactions on Systems, Man, and Cybernetics, Part B', u'IEEE SMC', 48]
[u'International Conference on Research an Development in Information Retrieval', u'SIGIR', 47]
[u'International Journal of Robotics Research', u'IJRR', 47]
[u'Journal of Computational Physics', u'JCP', 47]
[u'Computers in Human Behavior', u'COMPUT HUM BEHAV', 46]
[u'IEEE Transactions on Communications', u'TOC', 46]
[u'IEEE Transactions on Audio, Speech, and Language Processing', u'TASLP', 46]
[u'IEEE Transactions on Visualization and Computer Graphics', u'TVCG', 46]
[u'IEEE Transactions on Robotics', u'TR', 45]
[u'IEEE Transactions on Neural Networks', u'TNN', 45]
[u'IEEE International Conference on Acoustics, Speech and SP', u'ICASSP', 45]
[u'Conference on Empirical Methods in Natural Language Processing', u'EMNLP', 45]
[u'IEEE Transactions on Industrial Informatics', u'IEEE T IND INFORM', 45]
[u'IEEE Transactions on Biomedical Engineering ', u'ITBE', 45]
[u'ACM Conference on Computer and Communications Security', u'CCS', 44]
[u'AAAI Conference on Artificial Intelligence', u'AAAI', 44]
[u'IEEE Transactions on Fuzzy Systems', u'TFS', 44]
[u'Journal of Selected Topics in Signal Processing', u'J-STSP', 44]
[u'Computers & Operations Research', u'Computers & OR', 44]
[u'Decision Support Systems', u'DSS', 43]
